bairro_cod,bairro,bairro_area,total_pois,arts_and_culture,education,facilities,financial,healthcare,historic,leisure_and_entertainment,natural,public_places,shops,sustenance,transport,tourism,accomodation,animals,service,zona
37,VILA JACUI,6.249805170734401,103.0,0.0,17.0,7.0,1.0,2.0,0.0,48.0,0.0,2.0,13.0,3.0,10.0,0.0,0.0,0.0,0.0,LESTE
38,VILA MARIA,8.923026761220058,494.0,7.0,18.0,4.0,16.0,12.0,0.0,105.0,8.0,9.0,101.0,57.0,138.0,0.0,3.0,5.0,11.0,NORTE
39,VILA MARIANA,6.47269869896767,1067.0,17.0,39.0,2.0,38.0,48.0,0.0,140.0,3.0,10.0,122.0,150.0,441.0,14.0,23.0,4.0,16.0,SUL
40,VILA MATILDE,6.614475669052751,223.0,3.0,6.0,62.0,0.0,3.0,0.0,104.0,0.0,2.0,5.0,6.0,32.0,0.0,0.0,0.0,0.0,LESTE
41,VILA MEDEIROS,5.91733332720201,574.0,27.0,25.0,4.0,10.0,16.0,0.0,49.0,0.0,3.0,176.0,84.0,143.0,0.0,2.0,8.0,27.0,NORTE
42,VILA PRUDENTE,7.225508246137592,263.0,11.0,16.0,9.0,8.0,9.0,4.0,79.0,1.0,6.0,27.0,13.0,77.0,0.0,2.0,1.0,0.0,LESTE
43,AGUA RASA,5.409485682959925,444.0,7.0,7.0,40.0,6.0,11.0,0.0,90.0,0.0,4.0,44.0,22.0,205.0,0.0,0.0,1.0,7.0,LESTE
44,MORUMBI,8.639988570351075,296.0,6.0,6.0,3.0,8.0,11.0,4.0,166.0,1.0,2.0,27.0,9.0,46.0,3.0,1.0,3.0,0.0,OESTE
45,PEDREIRA,13.808876821119314,42.0,0.0,3.0,1.0,0.0,1.0,1.0,33.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,SUL
46,PENHA,8.65802586152447,359.0,14.0,15.0,77.0,9.0,8.0,0.0,86.0,3.0,6.0,46.0,23.0,65.0,0.0,7.0,0.0,0.0,LESTE
47,PERUS,17.758112146780643,42.0,1.0,5.0,2.0,0.0,2.0,0.0,14.0,4.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,NORTE
48,PINHEIROS,6.256859355465517,1169.0,22.0,14.0,14.0,39.0,17.0,4.0,184.0,1.0,5.0,134.0,189.0,508.0,12.0,12.0,1.0,13.0,OESTE
49,REPUBLICA,1.8040571460833352,833.0,17.0,7.0,16.0,50.0,14.0,43.0,53.0,1.0,14.0,242.0,138.0,164.0,19.0,49.0,1.0,5.0,CENTRO
50,SACOMA,10.973823453551955,274.0,7.0,34.0,6.0,7.0,7.0,0.0,78.0,1.0,5.0,46.0,12.0,62.0,0.0,6.0,2.0,1.0,SUL
51,SANTANA,9.851929940796746,769.0,9.0,19.0,14.0,19.0,33.0,1.0,149.0,1.0,15.0,121.0,48.0,321.0,5.0,6.0,4.0,4.0,NORTE
52,SAO RAFAEL,9.8850012252825,32.0,1.0,2.0,1.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,LESTE
53,TATUAPE,6.41646889959378,440.0,9.0,13.0,59.0,19.0,20.0,0.0,102.0,2.0,4.0,63.0,38.0,104.0,0.0,2.0,2.0,3.0,LESTE
54,TREMEMBE,42.95450240462528,,,,,,,,,,,,,,,,,,NORTE
55,VILA ANDRADE,7.7496307131123805,326.0,1.0,15.0,16.0,7.0,11.0,1.0,165.0,4.0,1.0,30.0,17.0,47.0,4.0,1.0,2.0,4.0,SUL
56,VILA CURUCA,7.150762196228136,75.0,1.0,11.0,0.0,1.0,1.0,0.0,45.0,0.0,2.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,LESTE
57,ARICANDUVA,5.251264800601927,95.0,0.0,3.0,17.0,5.0,3.0,0.0,42.0,0.0,0.0,11.0,2.0,9.0,0.0,1.0,1.0,1.0,LESTE
58,GUAIANASES,6.7637397865583635,85.0,7.0,7.0,0.0,5.0,3.0,0.0,24.0,1.0,3.0,10.0,6.0,19.0,0.0,0.0,0.0,0.0,LESTE
59,IPIRANGA,8.292985581064347,492.0,12.0,25.0,5.0,16.0,12.0,1.0,74.0,0.0,4.0,55.0,24.0,247.0,7.0,5.0,3.0,2.0,SUL
60,ITAIM BIBI,7.543267979933623,633.0,7.0,14.0,3.0,39.0,14.0,0.0,102.0,2.0,4.0,71.0,119.0,223.0,5.0,23.0,0.0,7.0,OESTE
61,ITAIM PAULISTA,9.180005601324963,88.0,2.0,7.0,0.0,0.0,2.0,0.0,62.0,1.0,1.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,LESTE
62,JACANA,6.221527149942606,121.0,4.0,3.0,2.0,1.0,9.0,0.0,37.0,0.0,1.0,17.0,5.0,35.0,0.0,4.0,2.0,1.0,NORTE
63,JAGUARA,3.43624770540788,45.0,3.0,4.0,0.0,1.0,0.0,0.0,28.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,OESTE
64,LAJEADO,6.663397292958121,91.0,5.0,19.0,0.0,4.0,6.0,0.0,36.0,0.0,3.0,11.0,1.0,6.0,0.0,0.0,0.0,0.0,LESTE
65,LAPA,7.728682777485367,442.0,7.0,12.0,2.0,15.0,15.0,0.0,126.0,0.0,8.0,53.0,26.0,171.0,2.0,2.0,1.0,2.0,OESTE
66,LIBERDADE,2.7488721902878392,461.0,12.0,11.0,30.0,16.0,22.0,2.0,50.0,4.0,8.0,40.0,71.0,172.0,3.0,5.0,7.0,8.0,CENTRO
67,LIMAO,4.854884414661161,106.0,4.0,6.0,1.0,5.0,3.0,0.0,35.0,0.0,2.0,14.0,4.0,31.0,0.0,1.0,0.0,0.0,NORTE
68,JABAQUARA,10.553543490743285,362.0,43.0,17.0,5.0,23.0,21.0,0.0,85.0,7.0,7.0,44.0,20.0,82.0,3.0,5.0,0.0,0.0,SUL
69,CIDADE ADEMAR,9.29597190256813,237.0,38.0,26.0,5.0,12.0,13.0,0.0,47.0,0.0,4.0,41.0,3.0,43.0,0.0,3.0,1.0,1.0,SUL
70,ITAQUERA,11.130849806533941,160.0,5.0,8.0,8.0,2.0,5.0,0.0,59.0,0.0,3.0,15.0,5.0,50.0,0.0,0.0,0.0,0.0,LESTE
71,JOSE BONIFACIO,10.99500579158413,89.0,7.0,8.0,1.0,1.0,4.0,0.0,30.0,8.0,2.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,LESTE
72,ERMELINO MATARAZZO,7.0836871539006605,136.0,4.0,9.0,27.0,3.0,10.0,0.0,42.0,0.0,0.0,9.0,14.0,15.0,1.0,0.0,0.0,2.0,LESTE
73,MOOCA,5.988272761513383,485.0,7.0,13.0,40.0,10.0,20.0,0.0,95.0,0.0,4.0,74.0,50.0,160.0,0.0,4.0,0.0,8.0,LESTE
74,FREGUESIA DO O,8.280129759141415,212.0,9.0,8.0,1.0,5.0,3.0,1.0,118.0,1.0,1.0,26.0,4.0,35.0,0.0,0.0,0.0,0.0,NORTE
75,GRAJAU,69.86635741750798,,,,,,,,,,,,,,,,,,SUL
76,PARI,2.0552587574985544,619.0,16.0,13.0,11.0,13.0,11.0,1.0,58.0,1.0,6.0,205.0,103.0,163.0,2.0,7.0,3.0,6.0,LESTE
77,SANTA CECILIA,2.8286636854830136,397.0,10.0,13.0,1.0,15.0,10.0,6.0,24.0,0.0,5.0,27.0,33.0,243.0,1.0,6.0,1.0,2.0,CENTRO
78,SOCORRO,9.003117512695855,175.0,6.0,3.0,0.0,2.0,1.0,0.0,95.0,1.0,3.0,13.0,7.0,34.0,9.0,1.0,0.0,0.0,SUL
79,PARELHEIROS,114.94913263623044,,,,,,,,,,,,,,,,,,SUL
80,BARRA FUNDA,4.402164836499745,298.0,10.0,4.0,5.0,5.0,2.0,3.0,84.0,5.0,2.0,17.0,15.0,136.0,8.0,2.0,0.0,0.0,OESTE
81,BELA VISTA,2.0456772133029437,529.0,17.0,14.0,1.0,34.0,23.0,7.0,31.0,1.0,6.0,90.0,79.0,196.0,8.0,17.0,0.0,5.0,CENTRO
82,BELEM,4.554602415884351,513.0,16.0,10.0,50.0,9.0,16.0,0.0,52.0,1.0,8.0,89.0,79.0,165.0,0.0,8.0,3.0,7.0,LESTE
